;displaystopid;fullname;fullnamelocalized;lastupdated;latitude;longitude;operators;shortname;shortnamelocalized;stopid
3543;4332;Nutgrove Way;;29/05/2017 09:46;53.29008194;-6.268781111;[{'name': 'bac', 'routes': ['161', '75']}];Nutgrove Way;Slí an Gharráin Chn;4332
3544;4333;Broadford Road;;29/05/2017 09:46;53.286225;-6.266268056;[{'name': 'bac', 'routes': ['75', '161', '14']}];Broadford Road;Slí an Gharráin Chn;4333
3545;4334;Barton Road;;29/05/2017 09:46;53.28381306;-6.265005;[{'name': 'bac', 'routes': ['14', '161', '75']}];Barton Road;Bóthar Bhartúin;4334
3546;4336;Broadford Rd;;29/05/2017 09:46;53.28617111;-6.266436111;[{'name': 'bac', 'routes': ['75', '161', '14', '14C']}];Broadford Rd;Br an Átha Leathain;4336
3547;4337;Nutgrove Way;;29/05/2017 09:46;53.290725;-6.268961944;[{'name': 'bac', 'routes': ['161', '75']}];Nutgrove Way;Slí an Gharráin Chn;4337
3548;4339;Estuary Road;;29/05/2017 09:46;53.45266611;-6.183418889;[{'name': 'bac', 'routes': ['42', '142', '102', '32X']}];Estuary Road;Bóthar an Inbhir;4339
3549;4340;Tallaght;;29/05/2017 09:46;53.286;-6.3735;[{'name': 'bac', 'routes': ['56A']}];Tallaght;Tamhlacht;4340
3550;4341;Tallaght;;29/05/2017 09:46;53.28565;-6.372363889;[{'name': 'bac', 'routes': ['76', '76A']}];Tallaght;Tamhlacht;4341
3551;4342;Tallaght;;29/05/2017 09:46;53.28607889;-6.373008056;[{'name': 'bac', 'routes': ['75', '49']}];Tallaght;Tamhlacht;4342
3552;4344;Tallaght;;29/05/2017 09:46;53.28587389;-6.372473056;[{'name': 'bac', 'routes': ['56A']}];Tallaght;Tamhlacht;4344
3553;4347;Old Blessington Rd;;29/05/2017 09:46;53.2862;-6.37503;[{'name': 'bac', 'routes': ['49', '54A', '65', '75', '76', '77A', '27', '76A']}];Old Blessington Rd;Snbr Bhaile Coimín;4347
3554;4348;Old Blessington Rd;;29/05/2017 09:46;53.28666111;-6.375073056;[{'name': 'bac', 'routes': ['76A', '27', '77A', '76', '75', '65', '54A', '49']}];Old Blessington Rd;Snbr Bhaile Coimín;4348
3555;4349;Blackthorn Drive;;29/05/2017 09:46;53.27583806;-6.227696111;[{'name': 'bac', 'routes': ['114', '116']}];Blackthorn Drive;Céide an Draighin;4349
3556;4350;Blackthorn Drive;;29/05/2017 09:46;53.27615889;-6.223046944;[{'name': 'bac', 'routes': ['116', '114']}];Blackthorn Drive;Céide an Draighin;4350
3557;4353;Newtownpark Ave;;29/05/2017 09:46;53.29241111;-6.170371944;[{'name': 'bac', 'routes': ['46E']}];Newtownpark Ave;Asc Pháirc an Bhail;4353
